,region,Population,Median Age,Per Capita Income,AveragePrice,Total Volume,year
0,Albany,5400.494117647058,43.880000000000024,31850.58823529412,1.533942307692308,50618.61144230772,2016.0
1,Atlanta,11380.430868167203,40.13247588424436,23222.79421221865,1.2141346153846153,272373.82980769227,2016.0
2,BaltimoreWashington,26714.14423076923,38.093269230769245,44071.394230769234,1.5875961538461543,393209.6376923077,2016.0
3,Boise,27025.3,37.17,32924.9,1.1419230769230775,44745.283942307724,2016.0
4,Boston,23225.185185185186,37.593827160493824,43865.28395061728,1.426153846153846,293954.952596154,2016.0
5,BuffaloRochester,21043.30612244898,36.985714285714295,26256.714285714286,1.4838461538461531,69279.92317307692,2016.0
6,Charlotte,23208.41935483871,37.99354838709678,28440.08064516129,1.497884615384615,101795.39423076919,2016.0
7,Chicago,25908.135951661632,38.65558912386708,36114.71903323263,1.5473076923076934,380890.7309615383,2016.0
8,CincinnatiDayton,9207.910493827161,41.09483024691357,24306.573302469136,1.088365384615385,134816.02288461526,2016.0
9,DallasFtWorth,16974.415354330707,38.86889763779522,26780.26377952756,0.9961538461538464,612454.325769231,2016.0
10,Denver,17621.911917098445,39.93989637305699,36489.31606217616,1.0931730769230765,435651.5581730769,2016.0
11,Detroit,23259.367816091955,39.37471264367815,27605.655172413793,1.1724038461538464,181802.48557692312,2016.0
12,GrandRapids,29813.64285714286,33.707142857142856,26112.285714285714,1.5093269230769235,87950.69028846151,2016.0
13,HarrisburgScranton,9167.367088607594,41.626582278480996,25918.6582278481,1.511634615384616,126200.23028846152,2016.0
14,HartfordSpringfield,11227.72972972973,42.229729729729726,32095.567567567567,1.8510576923076936,150941.82499999998,2016.0
15,Houston,25955.637860082305,36.16049382716051,30543.64197530864,0.9919230769230768,564469.1002884617,2016.0
16,Indianapolis,16052.031914893618,39.038297872340436,27989.35106382979,1.3015384615384613,88119.74519230773,2016.0
17,Jacksonville,18265.82242990654,43.53738317757011,24527.51401869159,1.367692307692308,93383.03951923076,2016.0
18,LasVegas,25296.759493670885,40.74810126582278,28391.810126582277,1.352403846153846,162567.43807692308,2016.0
19,LosAngeles,35543.65306122449,38.09632653061226,37004.38367346939,1.08375,1568675.9886538475,2016.0
20,Louisville,11559.170212765957,40.81063829787235,28455.255319148935,1.2115384615384612,48810.85365384616,2016.0
21,MiamiFtLauderdale,32029.375,40.33863636363637,33810.056818181816,1.2798076923076924,306587.12009615387,2016.0
22,Nashville,16169.75,39.34218749999999,27255.7734375,1.1161538461538463,100953.60480769229,2016.0
23,NewOrleansMobile,15695.722222222223,36.94814814814814,24834.722222222223,1.2486538461538463,140772.75076923074,2016.0
24,NewYork,24123.48034934498,39.8519650655022,49710.991266375546,1.7620192307692313,687947.7224999997,2016.0
25,Orlando,30939.0,36.11176470588234,28244.647058823528,1.3707692307692305,184757.56538461536,2016.0
26,Philadelphia,24720.755102040817,37.83367346938774,35250.142857142855,1.6748076923076929,212577.8501923077,2016.0
27,PhoenixTucson,17710.498680738787,42.06306068601581,24888.005277044856,1.2587499999999996,570035.4541346154,2016.0
28,Pittsburgh,15742.047619047618,40.54761904761905,33171.60317460317,1.343365384615385,53040.36384615384,2016.0
29,Portland,16336.92,42.86999999999998,31858.83,1.1916346153846151,358764.5373076921,2016.0
30,RaleighGreensboro,19750.14285714286,39.97285714285715,27290.72857142857,1.4477884615384615,140075.52201923082,2016.0
31,RichmondNorfolk,18604.265060240963,40.56987951807229,29492.385542168675,1.2111538461538462,124404.09346153836,2016.0
32,Roanoke,18841.0,38.73333333333333,32097.666666666668,1.1474999999999995,73911.69740384616,2016.0
33,Sacramento,19267.284112149533,41.739813084112164,35038.358878504674,1.6681730769230767,222336.83057692304,2016.0
34,SanDiego,33806.282608695656,38.13913043478263,35144.065217391304,1.31375,282096.6429807694,2016.0
35,SanFrancisco,28165.685185185186,39.84074074074073,63213.22222222222,1.881250000000001,399323.3446153846,2016.0
36,Seattle,26516.272727272728,38.71515151515152,48209.666666666664,1.300288461538462,357580.9463461538,2016.0
37,Spokane,25271.714285714286,36.47857142857143,26181.5,1.3335576923076924,48136.21673076926,2016.0
38,StLouis,20518.533333333333,37.49999999999999,32550.82222222222,1.1854807692307685,102350.726923077,2016.0
39,Syracuse,15246.4,36.32666666666666,25013.933333333334,1.5034615384615388,32974.69942307694,2016.0
40,Tampa,29302.5,35.426923076923075,30574.884615384617,1.2645192307692301,208468.7438461538,2016.0
