m,m,m,m,m,m
,,,Boston                 ,02108 - 02446,
HartfordSpringfield    ,,,HartfordSpringfield    ,06103 - 06167 ,65619 - 65897
Houston                ,,,NewYork                ,10001 - 11104,
,,,HartfordSpringfield    ,01089-01199,
DallasFtWorth          ,,,Albany                 ,12084 - 12260,
Denver                 ,,,Syracuse               ,13201 - 13290,
RichmondNorfolk        ,,,BuffaloRochester       ,14201 - 14276,14602 - 14694
,,,BuffaloRochester       ,14602 - 14694,
Syracuse               ,,,Pittsburgh             ,15106 - 15295,
Sacramento             ,,,HarrisburgScranton     ,17025 - 17130,18503 - 18519
,,,HarrisburgScranton     ,18503 - 18519,
NewOrleansMobile       ,,,Philadelphia           ,19019 - 19255,
TotalUS                ,,,BaltimoreWashington    ,20001 - 20456,20001 - 20456
,,,BaltimoreWashington    ,21201 - 21298,
MiamiFtLauderdale      ,,,RichmondNorfolk        ,23173 - 23298,23324 - 23551
,,,RichmondNorfolk        ,23324 - 23551,
StLouis                ,,,Roanoke                ,24001 - 24050,
Boston                 ,,,RaleighGreensboro      ,27214 - 27499,27214 - 27499
,,,RaleighGreensboro      ,27513 - 27698,
BuffaloRochester       ,,,Charlotte              ,28105 - 28299,
Tampa                  ,,,SouthCarolina          ,29401 - 29493,
SanFrancisco           ,,,Atlanta                ,30301 - 31196,
SouthCarolina          ,,,Jacksonville           ,32034 - 32257,
Midsouth               ,,,Orlando                ,32789 - 32897,
Charlotte              ,,,MiamiFtLauderdale      ,33101 - 33255,33301 - 33394
,,,MiamiFtLauderdale      ,33301 - 33394,
Portland               ,,,Tampa                  ,33601 - 33681,
SanDiego               ,,,Nashville              ,37011 - 37250,
Boise                  ,,,Louisville             ,40018 - 40299,
Indianapolis           ,,,Columbus               ,43004 - 43291,
LasVegas               ,,,CincinnatiDayton       ,45073 - 45299,45377 - 45490
,,,CincinnatiDayton       ,45377 - 45490,
Seattle                ,,,Indianapolis           ,46077 - 46298,
Jacksonville           ,,,Detroit                ,48127 - 48288,
Albany                 ,,,GrandRapids            ,49501 - 49599,
West                   ,,,GreatLakes             ,60044 - 60088,
California             ,,,Chicago                ,60607 - 60827,
Spokane                ,,,StLouis                ,63101 - 63199,
,,,Springfield    ,65619 - 65897,
RaleighGreensboro      ,,,NewOrleans,70032 - 70190,
Roanoke                ,,,DallasFtWorth          ,75201 - 75398, 76006 - 76262
,,,DallasFtWorth          ,76006 - 76262,
Southeast              ,,,Houston                ,77001 - 77571,
PhoenixTucson          ,,,Denver                 ,80014 - 80642,
Atlanta                ,,,Boise                  ,83701 - 83735,
Northeast              ,,,PhoenixTucson          ,85001 - 85099,85641 - 86714
,,,PhoenixTucson          ,85641 - 86714,85701 - 85777
NorthernNewEngland     ,,,WestTexNewMexico ,87001 - 88439,
NewYork                ,,,LasVegas               ,88199 - 89199,
Philadelphia           ,,,LosAngeles             ,90001 - 91610,
Orlando                ,,,California             ,90201 - 90296,
Plains                 ,,,SanDiego               ,92101 - 92199,
GrandRapids            ,,,SanFrancisco           ,94016 - 94188,
Louisville             ,,,Sacramento             ,94203 - 95894,
Detroit                ,,,Portland               ,97035 - 97296,
HarrisburgScranton     ,,,Seattle                ,98101 - 98199,
SouthCentral           ,,,Spokane                ,99201 - 99299,
Columbus               ,,,,,
LosAngeles             ,,,,,
CincinnatiDayton       ,,,,,
Nashville              ,,,,,
Pittsburgh             ,,,,,
Chicago                ,,,,,
BaltimoreWashington    ,,,,,
WestTexNewMexico ,,,,,
